agent_name,max_tile_mean,max_tile_std,max_tile_max,max_tile_min,final_score_mean,final_score_std,final_score_max,moves_mean,moves_std,time_seconds_mean,time_seconds_sum,num_games
Minimax_NoAB_d3,947.2,492.08,2048,256,1489.0,549.55,2126,675.15,250.28,865.66,17313.27,20
Expectimax_aggressive_d3,785.07,264.4,1024,512,1414.67,448.62,2068,640.4,205.54,468.07,7021.05,15
Minimax_WithAB_d3,755.2,281.35,1024,256,1281.4,421.17,2034,579.0,188.8,197.06,3941.28,20
Minimax_depth3,659.2,364.47,1024,64,1175.0,545.52,2024,533.5,250.28,171.02,3420.48,20
Expectimax_balanced_d3,648.53,288.12,1024,256,1059.2,334.35,1540,476.53,150.8,281.34,4220.06,15
Minimax_depth2,640.0,471.68,2048,128,1060.3,542.56,2164,478.9,247.84,18.31,366.27,20
Expectimax_depth3,518.4,289.14,1024,128,914.3,394.2,1640,413.35,179.61,282.08,5641.54,20
Expectimax_depth2,380.8,294.0,1024,64,710.0,357.58,1584,321.0,162.2,11.1,221.91,20
Expectimax_defensive_d3,375.47,229.31,1024,128,739.87,291.25,1484,333.47,133.14,228.88,3433.15,15
Expectimax_corner_focused_d3,247.47,148.85,512,128,529.07,167.3,826,241.13,77.23,126.87,1903.11,15
Random_Baseline,87.04,44.34,256,32,232.92,75.63,518,110.22,38.9,0.05,2.47,50
